row_index,brand,name,slug,longevity_score,sillage_score,versatility_score,matched_source,matched_url,matched_confidence,recommended_next_action,notes
12,Paco Rabanne,1 Million,paco-rabanne-1-million,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
13,Jean Paul Gaultier,Le Male Le Parfum,jean-paul-gaultier-le-male-le-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-le-parfum,0.97,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
14,Givenchy,Gentleman Reserve Privee,givenchy-gentleman-reserve-privee,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
15,Tom Ford,Noir Extreme,tom-ford-noir-extreme,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
16,Bvlgari,Man in Black,bvlgari-man-in-black,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
17,Dolce and Gabbana,The One for Men Eau de Parfum,dolce-and-gabbana-the-one-for-men-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-2015,0.97,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
18,Viktor and Rolf,Spicebomb Extreme,viktor-and-rolf-spicebomb-extreme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb_Extreme,0.97,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
19,Chanel,Coco Mademoiselle,chanel-coco-mademoiselle,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
20,Chanel,Chance Eau Tendre,chanel-chance-eau-tendre,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
21,Dior,Jadore Eau de Parfum,dior-jadore-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/J_Adore,0.97,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
22,Dior,Miss Dior Eau de Parfum,dior-miss-dior-eau-de-parfum,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
23,Yves Saint Laurent,Libre Eau de Parfum,yves-saint-laurent-libre-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
24,Giorgio Armani,Si Eau de Parfum,giorgio-armani-si-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Giorgio_Armani/Si,0.97,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
25,Prada,Paradoxe,prada-paradoxe,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
26,Lancome,La Vie Est Belle,lancome-la-vie-est-belle,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
27,Carolina Herrera,Good Girl,carolina-herrera-good-girl,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
28,Viktor and Rolf,Flowerbomb,viktor-and-rolf-flowerbomb,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
29,Narciso Rodriguez,For Her Eau de Parfum,narciso-rodriguez-for-her-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/For_Her_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
30,Mugler,Alien,mugler-alien,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
31,Mugler,Angel,mugler-angel,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
32,Guerlain,Mon Guerlain,guerlain-mon-guerlain,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
33,Dolce and Gabbana,Light Blue,dolce-and-gabbana-light-blue,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
34,Versace,Bright Crystal,versace-bright-crystal,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
35,Givenchy,L Interdit Eau de Parfum,givenchy-l-interdit-eau-de-parfum,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
36,Maison Francis Kurkdjian,Baccarat Rouge 540,maison-francis-kurkdjian-baccarat-rouge-540,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
37,Maison Francis Kurkdjian,Grand Soir,maison-francis-kurkdjian-grand-soir,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
38,Le Labo,Santal 33,le-labo-santal-33,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
39,Byredo,Gypsy Water,byredo-gypsy-water,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
40,Diptyque,Philosykos,diptyque-philosykos,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
41,Diptyque,Eau Duelle Eau de Parfum,diptyque-eau-duelle-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Diptyque/Eau_Duelle_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
42,Creed,Aventus,creed-aventus,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Creed/aventus,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
43,Creed,Silver Mountain Water,creed-silver-mountain-water,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Creed/Silver_Mountain_Water,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
44,Xerjoff,Naxos,xerjoff-naxos,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Xerjoff/naxos,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
45,Parfums de Marly,Delina,parfums-de-marly-delina,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
46,Amouage,Reflection Man,amouage-reflection-man,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Reflection_Man,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
47,Amouage,Guidance,amouage-guidance,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
48,Nishane,Hacivat,nishane-hacivat,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Nishane/Hacivat,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
49,Initio,Oud for Greatness,initio-oud-for-greatness,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
50,Frederic Malle,Portrait of a Lady,frederic-malle-portrait-of-a-lady,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
51,Kilian Paris,Angels Share,kilian-paris-angels-share,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
52,Dior,Hypnotic Poison Eau de Toilette,dior-hypnotic-poison-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/Hypnotic_Poison,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
53,Guerlain,Mon Guerlain Eau de Parfum,guerlain-mon-guerlain-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Mon_Guerlain,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
54,Parfums de Marly,Delina Eau de Parfum,parfums-de-marly-delina-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
55,Parfums de Marly,Delina Exclusif,parfums-de-marly-delina-exclusif,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina_Exclusif,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
56,Editions de Parfums Frédéric Malle,Portrait of a Lady Eau de Parfum,editions-de-parfums-frederic-malle-portrait-of-a-lady-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/portrait-of-a-lady-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
57,Givenchy,L'Interdit Eau de Parfum Rouge,givenchy-linterdit-eau-de-parfum-rouge,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Givenchy/l-interdit-eau-de-parfum-rouge,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
58,Kayali,Vanilla | 28 Eau de Parfum,kayali-vanilla-28-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Kayali/vanilla-28-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
59,Gritti,Duchessa,gritti-duchessa,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Gritti/duchessa,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
60,Guerlain,Shalimar Eau de Parfum,guerlain-shalimar-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Shalimar,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
61,Guerlain,L'Instant Magic Eau de Parfum,guerlain-linstant-magic-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_Magic,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
62,Yves Saint Laurent,Libre Eau de Parfum Intense,yves-saint-laurent-libre-eau-de-parfum-intense,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-eau-de-parfum-intense,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
63,bdk Parfums,Rouge Smoking Eau de Parfum,bdk-parfums-rouge-smoking-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/bdk_Parfums/rouge-smoking-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
64,Amouage,Sunshine Woman,amouage-sunshine-woman,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Sunshine,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
65,Casamorati,Dama Bianca Eau de Parfum,casamorati-dama-bianca-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/casamorati/dama-bianca-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
66,Dior,Dior Addict (2014) Eau de Parfum,dior-dior-addict-2014-eau-de-parfum,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
67,Chanel,Coco Eau de Parfum,chanel-coco-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Coco,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
68,Narciso Rodriguez,For Her Musc Noir Rose,narciso-rodriguez-for-her-musc-noir-rose,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-musc-noir-rose,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
69,Nishane,Hundred Silent Ways Extrait de Parfum,nishane-hundred-silent-ways-extrait-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Nishane/Hundred_Silent_Ways,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
70,Kenzo,Kenzo Amour,kenzo-kenzo-amour,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Kenzo/Kenzo_Amour,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
71,Guerlain,Mon Guerlain Eau de Parfum Intense,guerlain-mon-guerlain-eau-de-parfum-intense,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Mon_Guerlain_Eau_de_Parfum_Intense,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
72,Jean Paul Gaultier,La Belle Le Parfum,jean-paul-gaultier-la-belle-le-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/la-belle-le-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
73,Jean Paul Gaultier,La Belle,jean-paul-gaultier-la-belle,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/La_Belle,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
74,Chanel,Coromandel Eau de Toilette,chanel-coromandel-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Coromandel,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
75,Guerlain,L'Heure Bleue Eau de Parfum,guerlain-lheure-bleue-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/L_Heure_Bleue,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
76,Yves Saint Laurent,Cinéma Eau de Parfum,yves-saint-laurent-cinema-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Cinema_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
77,Parfums de Marly,Delina La Rosée,parfums-de-marly-delina-la-rosee,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/delina-la-rosee,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
78,Amouage,Memoir Woman Eau de Parfum,amouage-memoir-woman-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Memoir_Woman,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
79,Xerjoff,Pikovaya Dama,xerjoff-pikovaya-dama,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Xerjoff/pikovaya-dama,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
80,Guerlain,Mitsouko Eau de Parfum,guerlain-mitsouko-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Mitsouko,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
81,Tom Ford,Noir pour Femme,tom-ford-noir-pour-femme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Tom_Ford/Noir_pour_Femme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
82,Yves Saint Laurent,Libre Le Parfum,yves-saint-laurent-libre-le-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-le-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
83,Chanel,N°5 Eau Première,chanel-n-5-eau-premiere,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/No_5_Eau_Premiere,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
84,Mugler,Alien Essence Absolue,mugler-alien-essence-absolue,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/mugler/Alien_Essence_Absolue,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
85,Chanel,Coco Mademoiselle Eau de Parfum Intense,chanel-coco-mademoiselle-eau-de-parfum-intense,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Eau_de_Parfum_Intense,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
86,Chanel,Chance Eau Tendre Eau de Toilette,chanel-chance-eau-tendre-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Tendre_Eau_deToilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
87,Yves Saint Laurent,Black Opium Le Parfum,yves-saint-laurent-black-opium-le-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/black-opium-le-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
88,Guerlain,Mon Précieux Nectar,guerlain-mon-precieux-nectar,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Mon_Precieux_Nectar,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
89,Versace,Crystal Noir Eau de Parfum,versace-crystal-noir-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Versace/Crystal_Noir_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
90,Ligne St Barth,Vanille West Indies,ligne-st-barth-vanille-west-indies,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Ligne_St_Barth/Vanille_West_Indies,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
91,Xerjoff,Irisss,xerjoff-irisss,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Xerjoff/irisss,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
92,Guerlain,Gourmand Coquin,guerlain-gourmand-coquin,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/gourmand-coquin,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
93,Yves Saint Laurent,Manifesto L'Elixir,yves-saint-laurent-manifesto-lelixir,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Manifesto_L_Elixir,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
94,Chanel,Chance Eau Tendre Eau de Parfum,chanel-chance-eau-tendre-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Tendre_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
95,Guerlain,Shalimar Parfum Initial,guerlain-shalimar-parfum-initial,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Shalimar_Parfum_Initial,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
96,Lancôme,La Nuit Trésor à la Folie,lancome-la-nuit-tresor-a-la-folie,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Lancome/La_Nuit_Tresor__la_Folie,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
97,Dior,Dior Addict (2002) Eau de Parfum,dior-dior-addict-2002-eau-de-parfum,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
98,Guerlain,Jicky Eau de Parfum,guerlain-jicky-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Jicky,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
99,Kilian,I Don't Need a Prince by My Side to Be a Princess,kilian-i-dont-need-a-prince-by-my-side-to-be-a-princess,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Kilian/i-don-t-need-a-prince-by-my-side-to-be-a-princess,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
100,Guerlain,Après L'Ondée Eau de Toilette,guerlain-apres-londee-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Apres_L_ondee,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
101,The Merchant Of Venice,La Fenice pour Femme,the-merchant-of-venice-la-fenice-pour-femme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/The_Merchant_Of_Venice/La_Fenice_pour_Femme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
102,Jovoy,Remember Me,jovoy-remember-me,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Jovoy/Remember_Me,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
103,Chanel,Sycomore (2008) Eau de Toilette,chanel-sycomore-2008-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Sycomore_2008,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
104,Penhaligon's,Changing Constance,penhaligons-changing-constance,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Penhaligons/changing-constance,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
105,Amouage,Epic Woman Eau de Parfum,amouage-epic-woman-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Epic_Woman,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
106,Guerlain,Vol de Nuit Eau de Toilette,guerlain-vol-de-nuit-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Vol_de_Nuit,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
107,Lancôme,Poême Eau de Parfum,lancome-poeme-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Lancome/Pome_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
108,Dior,Midnight Poison Eau de Parfum,dior-midnight-poison-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/Midnight_Poison_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
109,Amouage,Lyric Woman Eau de Parfum,amouage-lyric-woman-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Lyric_Woman,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
110,Penhaligon's,Luna Eau de Toilette,penhaligons-luna-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Penhaligons/Luna,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
