row_index,brand,name,slug,issue_type,candidate_matches,recommended_next_action,notes
13,Jil Sander,Background Eau de Toilette,jil-sander-background-eau-de-toilette,conflict,Parfumo Top Lists:Background Eau de Toilette:https://www.parfumo.com/Perfumes/Jil_Sander/Background_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Background Eau de Toilette.
14,Nikos,Sculpture Parfum,nikos-sculpture-parfum,conflict,Parfumo Top Lists:Sculpture Parfum:https://www.parfumo.com/Perfumes/Nikos/sculpture-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Sculpture Parfum.
15,Joop!,Nuit d'été Eau de Toilette,joop-nuit-dete-eau-de-toilette,conflict,Parfumo Top Lists:Nuit d'été Eau de Toilette:https://www.parfumo.com/Perfumes/Joop/Nuit_d_ete_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Nuit d'été Eau de Toilette.
16,Karl Lagerfeld,KL Eau de Toilette,karl-lagerfeld-kl-eau-de-toilette,conflict,Parfumo Top Lists:KL Eau de Toilette:https://www.parfumo.com/Perfumes/karl-lagerfeld/KL_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: KL Eau de Toilette.
17,Aaron Terence Hughes,Homme,aaron-terence-hughes-homme,conflict,Parfumo Top Lists:Homme:https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/homme:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Homme.
18,Grossmith,Hasu-no-Hana Eau de Parfum,grossmith-hasu-no-hana-eau-de-parfum,conflict,Parfumo Top Lists:Hasu-no-Hana Eau de Parfum:https://www.parfumo.com/Perfumes/Grossmith/Hasu_no_Hana_Eau_de_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Hasu-no-Hana Eau de Parfum.
19,Boadicea the Victorious,Bodacious,boadicea-the-victorious-bodacious,conflict,Parfumo Top Lists:Bodacious:https://www.parfumo.com/Perfumes/Boadicea_the_Victorious/bodacious:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Bodacious.
20,Reinvēnted,Sacred Bond Eau de Parfum,reinvented-sacred-bond-eau-de-parfum,conflict,Parfumo Top Lists:Sacred Bond Eau de Parfum:https://www.parfumo.com/Perfumes/reinvented/sacred-bond-eau-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Sacred Bond Eau de Parfum.
21,Caron,Tabac Blond Eau de Parfum,caron-tabac-blond-eau-de-parfum,conflict,Parfumo Top Lists:Tabac Blond Eau de Parfum:https://www.parfumo.com/Perfumes/Caron/Tabac_Blond:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Tabac Blond Eau de Parfum.
22,Grauton Parfums,Pour Homme,grauton-parfums-pour-homme,conflict,Parfumo Top Lists:Pour Homme:https://www.parfumo.com/Perfumes/grauton-parfums/pour-homme:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Pour Homme.
23,Maison Alhambra,Hercules,maison-alhambra-hercules,conflict,Parfumo Top Lists:Hercules:https://www.parfumo.com/Perfumes/maison-alhambra/hercules:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Hercules.
24,Slumberhouse,Norne (2012),slumberhouse-norne-2012,conflict,Parfumo Top Lists:Norne (2012):https://www.parfumo.com/Perfumes/Slumberhouse/Norne:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Norne (2012).
25,Molinard,Habanita (1988) Eau de Toilette,molinard-habanita-1988-eau-de-toilette,conflict,Parfumo Top Lists:Habanita (1988) Eau de Toilette:https://www.parfumo.com/Perfumes/Molinard/Habanita_1988_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Habanita (1988) Eau de Toilette.
26,Puredistance,White,puredistance-white,conflict,Parfumo Top Lists:White:https://www.parfumo.com/Perfumes/Puredistance/White:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: White.
27,Fendi,Theorema Eau de Parfum,fendi-theorema-eau-de-parfum,conflict,Parfumo Top Lists:Theorema Eau de Parfum:https://www.parfumo.com/Perfumes/Fendi/Theorema_Eau_de_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Theorema Eau de Parfum.
28,Léonard,Balahé Eau de Toilette,leonard-balahe-eau-de-toilette,conflict,Parfumo Top Lists:Balahé Eau de Toilette:https://www.parfumo.com/Perfumes/Leonard/Balahe:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Balahé Eau de Toilette.
29,Lou de Pre,Mystic Dream,lou-de-pre-mystic-dream,conflict,Parfumo Top Lists:Mystic Dream:https://www.parfumo.com/Perfumes/lou-de-pre/mystic-dream:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Mystic Dream.
30,Ojar,Infusion Velours Eau de Parfum,ojar-infusion-velours-eau-de-parfum,conflict,Parfumo Top Lists:Infusion Velours Eau de Parfum:https://www.parfumo.com/Perfumes/ojar/infusion-velours-eau-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Infusion Velours Eau de Parfum.
31,Les Indémodables,Vanille Havane Eau de Parfum,les-indemodables-vanille-havane-eau-de-parfum,conflict,Parfumo Top Lists:Vanille Havane Eau de Parfum:https://www.parfumo.com/Perfumes/Les_Indemodables/vanille-havane-eau-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Vanille Havane Eau de Parfum.
32,pernoire,Anelo,pernoire-anelo,conflict,Parfumo Top Lists:Anelo:https://www.parfumo.com/Perfumes/pernoire/anelo:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Anelo.
33,Issey Miyake,L'Eau d'Issey pour Homme Noir Ambré,issey-miyake-leau-dissey-pour-homme-noir-ambre,conflict,Parfumo Top Lists:L'Eau d'Issey pour Homme Noir Ambré:https://www.parfumo.com/Perfumes/Issey_Miyake/L_Eau_d_Issey_pour_Homme_Noir_Ambre:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: L'Eau d'Issey pour Homme Noir Ambré.
34,Lubin,Akkad,lubin-akkad,conflict,Parfumo Top Lists:Akkad:https://www.parfumo.com/Perfumes/Lubin/Akkad:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Akkad.
35,Lancaster,Lancaster Eau de Toilette Concentrée,lancaster-lancaster-eau-de-toilette-concentree,conflict,Parfumo Top Lists:Lancaster Eau de Toilette Concentrée:https://www.parfumo.com/Perfumes/Lancaster/Lancaster_Concentrate:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Lancaster Eau de Toilette Concentrée.
36,Matière Première,Radical Rose Eau de Parfum,matiere-premiere-radical-rose-eau-de-parfum,conflict,Parfumo Top Lists:Radical Rose Eau de Parfum:https://www.parfumo.com/Perfumes/matiere-premiere/radical-rose:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Radical Rose Eau de Parfum.
37,Indult,Tihota,indult-tihota,conflict,Parfumo Top Lists:Tihota:https://www.parfumo.com/Perfumes/Indult/Tihota:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Tihota.
38,Aura Perfume,Sublime,aura-perfume-sublime,conflict,Parfumo Top Lists:Sublime:https://www.parfumo.com/Perfumes/aura-perfume/sublime-aura-sublime:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Sublime.
39,The Dua Brand,Popped Cherry,the-dua-brand-popped-cherry,conflict,Parfumo Top Lists:Popped Cherry:https://www.parfumo.com/Perfumes/the-dua-brand/Popped_Cherry:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Popped Cherry.
40,Al Rehab,Choco Musk Concentrated Perfume,al-rehab-choco-musk-concentrated-perfume,conflict,Parfumo Top Lists:Choco Musk Concentrated Perfume:https://www.parfumo.com/Perfumes/Al_Rehab/choco-musk-concentrated-perfume:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Choco Musk Concentrated Perfume.
41,Lalique,Ombre Noire,lalique-ombre-noire,conflict,Parfumo Top Lists:Ombre Noire:https://www.parfumo.com/Perfumes/Lalique/Ombre_Noire:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Ombre Noire.
42,Davidoff,Relax Eau de Toilette,davidoff-relax-eau-de-toilette,conflict,Parfumo Top Lists:Relax Eau de Toilette:https://www.parfumo.com/Perfumes/Davidoff/Relax_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Relax Eau de Toilette.
43,Zadig & Voltaire,Just Rock! pour Lui,zadig-and-voltaire-just-rock-pour-lui,conflict,Parfumo Top Lists:Just Rock! pour Lui:https://www.parfumo.com/Perfumes/Zadig__Voltaire/Just_Rock_pour_Lui:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Just Rock! pour Lui.
44,Rogue,Mousse Illuminée,rogue-mousse-illuminee,conflict,Parfumo Top Lists:Mousse Illuminée:https://www.parfumo.com/Perfumes/Rogue/Mousse_Illuminee:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Mousse Illuminée.
45,Montale,Infinity,montale-infinity,conflict,Parfumo Top Lists:Infinity:https://www.parfumo.com/Perfumes/Montale/infinity:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Infinity.
46,Rue Broca,Théorème pour Homme,rue-broca-theoreme-pour-homme,conflict,Parfumo Top Lists:Théorème pour Homme:https://www.parfumo.com/Perfumes/rue-broca/theoreme-pour-homme:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Théorème pour Homme.
47,Bond No. 9,Lafayette Street,bond-no-9-lafayette-street,conflict,Parfumo Top Lists:Lafayette Street:https://www.parfumo.com/Perfumes/Bond_No_9/Lafayette_Street:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Lafayette Street.
48,Chloé,"Love, Chloé Eau Intense",chloe-love-chloe-eau-intense,conflict,"Parfumo Top Lists:Love, Chloé Eau Intense:https://www.parfumo.com/Perfumes/Chloe/Love_Eau_Intense:1",Review conflicting field values manually before applying any overwrite.,"Accepted trusted Parfumo Top Lists candidate: Love, Chloé Eau Intense."
49,Estēe Lauder,Private Collection Eau de Parfum,estee-lauder-private-collection-eau-de-parfum,conflict,Parfumo Top Lists:Private Collection Eau de Parfum:https://www.parfumo.com/Perfumes/Estee_Lauder/Private_Collection_Eau_de_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Private Collection Eau de Parfum.
50,Victoria's Secret,Bare Vanilla,victorias-secret-bare-vanilla,conflict,Parfumo Top Lists:Bare Vanilla:https://www.parfumo.com/Perfumes/Victoria_s_Secret/Bare_Vanilla:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Bare Vanilla.
51,Stendhal,Ambre Sublime,stendhal-ambre-sublime,conflict,Parfumo Top Lists:Ambre Sublime:https://www.parfumo.com/Perfumes/Stendhal/Ambre_Sublime:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Ambre Sublime.
52,Tiziana Terenzi,Rosso Pompei,tiziana-terenzi-rosso-pompei,conflict,Parfumo Top Lists:Rosso Pompei:https://www.parfumo.com/Perfumes/Tiziana_Terenzi/rosso-pompei:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Rosso Pompei.
53,Electimuss,Imperium Extrait de Parfum,electimuss-imperium-extrait-de-parfum,conflict,Parfumo Top Lists:Imperium Extrait de Parfum:https://www.parfumo.com/Perfumes/Electimuss/imperium-extrait-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Imperium Extrait de Parfum.
54,Masque,III-IV Tango,masque-iii-iv-tango,conflict,Parfumo Top Lists:III-IV Tango:https://www.parfumo.com/Perfumes/Masque/IIIV_Tango:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: III-IV Tango.
55,Khadlaj,Shiyaaka for Men,khadlaj-shiyaaka-for-men,conflict,Parfumo Top Lists:Shiyaaka for Men:https://www.parfumo.com/Perfumes/Khadlaj/shiyaaka-for-men-shiyaaka-silver-1:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Shiyaaka for Men.
56,David Beckham,Exquisite Leather,david-beckham-exquisite-leather,conflict,Parfumo Top Lists:Exquisite Leather:https://www.parfumo.com/Perfumes/David_Beckham/exquisite-leather:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Exquisite Leather.
57,Ralph Lauren,Safari Eau de Parfum,ralph-lauren-safari-eau-de-parfum,conflict,Parfumo Top Lists:Safari Eau de Parfum:https://www.parfumo.com/Perfumes/Ralph_Lauren/Safari_Eau_de_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Safari Eau de Parfum.
58,Câline,Madame Chérie,caline-madame-cherie,conflict,Parfumo Top Lists:Madame Chérie:https://www.parfumo.com/Perfumes/caline/madame-cherie:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Madame Chérie.
59,Histoires de Parfums,Ambre 114,histoires-de-parfums-ambre-114,conflict,Parfumo Top Lists:Ambre 114:https://www.parfumo.com/Perfumes/Histoires_de_Parfums/Ambre_114:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Ambre 114.
60,Mancera,Amore Caffè,mancera-amore-caffe,conflict,Parfumo Top Lists:Amore Caffè:https://www.parfumo.com/Perfumes/Mancera/amore-caffe:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Amore Caffè.
61,Chopard,Oud Malaki,chopard-oud-malaki,conflict,Parfumo Top Lists:Oud Malaki:https://www.parfumo.com/Perfumes/Chopard/Oud_Malaki:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Oud Malaki.
62,Guess,Seductive Noir Eau de Toilette,guess-seductive-noir-eau-de-toilette,conflict,Parfumo Top Lists:Seductive Noir Eau de Toilette:https://www.parfumo.com/Perfumes/Guess/seductive-noir-eau-de-toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Seductive Noir Eau de Toilette.
63,Jean-Louis Scherrer,Jean-Louis Scherrer Eau de Toilette,jean-louis-scherrer-jean-louis-scherrer-eau-de-toilette,conflict,Parfumo Top Lists:Jean-Louis Scherrer Eau de Toilette:https://www.parfumo.com/Perfumes/Jean_Louis_Scherrer/Jean_Louis_Scherrer_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Jean-Louis Scherrer Eau de Toilette.
64,Fragonard,Grain de Soleil,fragonard-grain-de-soleil,conflict,Parfumo Top Lists:Grain de Soleil:https://www.parfumo.com/Perfumes/Fragonard/Grain_de_Soleil:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Grain de Soleil.
65,Mind Games,French Defense,mind-games-french-defense,conflict,Parfumo Top Lists:French Defense:https://www.parfumo.com/Perfumes/mind-games/french-defense:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: French Defense.
66,Sora Dora,Mandorle Extrait de Parfum,sora-dora-mandorle-extrait-de-parfum,conflict,Parfumo Top Lists:Mandorle Extrait de Parfum:https://www.parfumo.com/Perfumes/sora-dora/mandorle-extrait-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Mandorle Extrait de Parfum.
67,Frapin,L'Humaniste,frapin-lhumaniste,conflict,Parfumo Top Lists:L'Humaniste:https://www.parfumo.com/Perfumes/Frapin/L_Humaniste:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: L'Humaniste.
68,Dries Van Noten,Soie Malaquais,dries-van-noten-soie-malaquais,conflict,Parfumo Top Lists:Soie Malaquais:https://www.parfumo.com/Perfumes/dries-van-noten/soie-malaquais:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Soie Malaquais.
69,Aedes de Venustas,Copal Azur,aedes-de-venustas-copal-azur,conflict,Parfumo Top Lists:Copal Azur:https://www.parfumo.com/Perfumes/Aedes_de_Venustas/Copal_Azur:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Copal Azur.
70,Comme des Garçons,Series 3: Incense - Kyoto,comme-des-garcons-series-3-incense-kyoto,conflict,Parfumo Top Lists:Series 3: Incense - Kyoto:https://www.parfumo.com/Perfumes/Comme_des_Garons/Series_3_Incense_Kyoto:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Series 3: Incense - Kyoto.
71,Aramis,Tuscany per Uomo Eau de Toilette,aramis-tuscany-per-uomo-eau-de-toilette,conflict,Parfumo Top Lists:Tuscany per Uomo Eau de Toilette:https://www.parfumo.com/Perfumes/Aramis/Tuscany_per_Uomo_Etruscan_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Tuscany per Uomo Eau de Toilette.
72,Widian,London Eau de Parfum,widian-london-eau-de-parfum,conflict,Parfumo Top Lists:London Eau de Parfum:https://www.parfumo.com/Perfumes/Widian/london-eau-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: London Eau de Parfum.
73,Chanel,Coco Parfum,chanel-coco-parfum,conflict,Parfumo Top Lists:Coco Parfum:https://www.parfumo.com/Perfumes/Chanel/Coco_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Coco Parfum.
74,Roja Parfums,Amber Aoud Absolue Précieux,roja-parfums-amber-aoud-absolue-precieux,conflict,Parfumo Top Lists:Amber Aoud Absolue Précieux:https://www.parfumo.com/Perfumes/Roja_Parfums/Amber_Aoud_Absolue_Precieux:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Amber Aoud Absolue Précieux.
75,Guerlain,Shalimar Extrait,guerlain-shalimar-extrait,conflict,Parfumo Top Lists:Shalimar Extrait:https://www.parfumo.com/Perfumes/Guerlain/Shalimar_Extrait:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Shalimar Extrait.
76,Anfas,Ishq Special,anfas-ishq-special,conflict,Parfumo Top Lists:Ishq Special:https://www.parfumo.com/Perfumes/Anfas/ishq-special:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Ishq Special.
77,Parfums d'Elmar,Kaya,parfums-delmar-kaya,conflict,Parfumo Top Lists:Kaya:https://www.parfumo.com/Perfumes/Parfums_dElmar/kaya:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Kaya.
78,Xerjoff,Alexandria II Anniversary,xerjoff-alexandria-ii-anniversary,conflict,Parfumo Top Lists:Alexandria II Anniversary:https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-anniversary:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Alexandria II Anniversary.
79,Yves Saint Laurent,Opium (1977) Eau de Toilette,yves-saint-laurent-opium-1977-eau-de-toilette,conflict,Parfumo Top Lists:Opium (1977) Eau de Toilette:https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Opium_1977_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Opium (1977) Eau de Toilette.
80,Dolce & Gabbana,The One Luminous Night,dolce-and-gabbana-the-one-luminous-night,conflict,Parfumo Top Lists:The One Luminous Night:https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-luminous-night:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: The One Luminous Night.
81,Clive Christian,C: Woody Leather,clive-christian-c-woody-leather,conflict,Parfumo Top Lists:C: Woody Leather:https://www.parfumo.com/Perfumes/Clive_Christian/c-woody-leather:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: C: Woody Leather.
82,Lattafa Pride,Art of Nature II,lattafa-pride-art-of-nature-ii,conflict,Parfumo Top Lists:Art of Nature II:https://www.parfumo.com/Perfumes/lattafa-pride/art-of-nature-ii:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Art of Nature II.
83,Jean Paul Gaultier,Classique Essence de Parfum,jean-paul-gaultier-classique-essence-de-parfum,conflict,Parfumo Top Lists:Classique Essence de Parfum:https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Classique_Essence_de_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Classique Essence de Parfum.
84,Lattafa,Angham Eau de Parfum,lattafa-angham-eau-de-parfum,conflict,Parfumo Top Lists:Angham Eau de Parfum:https://www.parfumo.com/Perfumes/Lattafa/angham-eau-de-parfum-1:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Angham Eau de Parfum.
85,Bvlgari,Le Gemme - Kobraa,bvlgari-le-gemme-kobraa,conflict,Parfumo Top Lists:Le Gemme - Kobraa:https://www.parfumo.com/Perfumes/Bvlgari/le-gemme-kobraa:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Le Gemme - Kobraa.
86,Prada,Cargo de Nuit,prada-cargo-de-nuit,conflict,Parfumo Top Lists:Cargo de Nuit:https://www.parfumo.com/Perfumes/Prada/cargo-de-nuit:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Cargo de Nuit.
87,Zara,Sand Desert at Sunset Intense,zara-sand-desert-at-sunset-intense,conflict,Parfumo Top Lists:Sand Desert at Sunset Intense:https://www.parfumo.com/Perfumes/Zara/sand-desert-at-sunset-intense:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Sand Desert at Sunset Intense.
88,Louis Vuitton,Symphony,louis-vuitton-symphony,conflict,Parfumo Top Lists:Symphony:https://www.parfumo.com/Perfumes/Louis_Vuitton/symphony:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Symphony.
89,Kilian,Angels' Share on the Rocks,kilian-angels-share-on-the-rocks,conflict,Parfumo Top Lists:Angels' Share on the Rocks:https://www.parfumo.com/Perfumes/Kilian/angels-share-on-the-rocks-1:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Angels' Share on the Rocks.
90,Sospiro,Basso,sospiro-basso,conflict,Parfumo Top Lists:Basso:https://www.parfumo.com/Perfumes/Sospiro/basso:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Basso.
91,Dior,Dior Homme Intense (2007),dior-dior-homme-intense-2007,ambiguous,Parfumo Top Lists:Dior Homme Intense (2011):https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011:0.6 | Parfumo Top Lists:Dior Homme Intense (2007):https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
