brand,name,gender,year,top_notes,heart_notes,base_notes,family,rating,imageUrl
Byredo,Intense Spirit 0070,MEN,2018,Cardamom;Saffron;Bergamot,Iris;Lavender;Coffee,Labdanum;Musk;Praline,Aromatic Fougere,4.5,https://images.odora.it/perfumes/byredo-0070.jpg
Yves Saint Laurent,Luminous Edition 0071,UNISEX,1993,Mint;Bergamot;Apple,Cedar;Iris;Rose,Cedarwood;Sandalwood;Vanilla,Oriental Vanilla,4.2,
Acqua di Parma,Noble Parfum 0072,WOMEN,1995,Mint;Saffron;Aldehydes,Lavender;Jasmine;Nutmeg,Tonka Bean;Myrrh;Incense,Green Aromatic,4.3,
Parfums de Marly,Eclat Elixir 0073,MEN,1994,Juniper Berries;Lavender;Pink Pepper,Dates;Tuberose;Nutmeg,Incense;Praline;Sandalwood,Fresh Citrus,4.4,
Initio,Luminous Parfum 0074,WOMEN,1986,Apple;Lavender;Saffron,Geranium;Fig;Orange Blossom,Incense;Vanilla;Oakmoss,Woody Amber,4.8,
Mancera,Noir Veil 0075,WOMEN,1994,Lemon;Mandarin;Fig Leaf,Coffee;Tuberose;Cedar,Labdanum;Benzoin;Leather,Floral Woody Musk,3.8,https://images.odora.it/perfumes/mancera-0075.jpg
Montale,Oud Bloom 0076,WOMEN,2004,Aldehydes;Grapefruit;Lavender,Orange Blossom;Fig;Violet,Labdanum;Vetiver;Benzoin,Green Aromatic,3.9,
Nishane,Opaline Sillage 0077,UNISEX,2011,Mandarin;Pink Pepper;Aldehydes,Rose;Ylang Ylang;Tuberose,Leather;Tonka Bean;Vanilla,Floral Musk,4.1,
Memo Paris,Intense Pulse 0078,UNISEX,2000,Lavender;Ginger;Apple,Violet;Lavender;Dates,Benzoin;Sandalwood;Vetiver,Woody Amber,4.5,
Frederic Malle,Royal Reserve 0079,UNISEX,2021,Cardamom;Saffron;Bergamot,Iris;Orange Blossom;Tuberose,Cashmeran;Musk;Vetiver,Floral Musk,3.9,
Le Labo,Eclat Signature 0080,MEN,2004,Lemon;Fig Leaf;Neroli,Tuberose;Patchouli;Ylang Ylang,Amber;Vanilla;Leather,Fresh Citrus,4.4,https://images.odora.it/perfumes/le-labo-0080.jpg
Dior,Zenith Eau de Parfum 0081,UNISEX,1986,Saffron;Mint;Ginger,Orange Blossom;Lavender;Dates,Labdanum;Myrrh;Benzoin,Aromatic Fougere,4.2,
Chanel,Velvet Elixir 0082,WOMEN,2002,Mint;Mandarin;Lavender,Nutmeg;Jasmine;Iris,Vanilla;Oakmoss;Tonka Bean,Citrus Aromatic,4.4,
Xerjoff,Midnight Reserve 0083,WOMEN,2011,Pink Pepper;Mint;Pear,Iris;Fig;Cedar,Oakmoss;Oud;Cedarwood,Aromatic Fougere,4.5,
Lattafa,Silk Fusion 0084,WOMEN,2008,Aldehydes;Bergamot;Lemon,Rose;Cinnamon;Jasmine,Labdanum;Vanilla;Oakmoss,Floral Woody Musk,3.7,
Amouage,Luminous Veil 0085,MEN,2007,Lavender;Pear;Cardamom,Tuberose;Lavender;Geranium,Myrrh;Incense;Tonka Bean,Floral Woody Musk,4.3,https://images.odora.it/perfumes/amouage-0085.jpg
Tom Ford,Eclat Pulse 0086,WOMEN,1986,Pink Pepper;Grapefruit;Mandarin,Geranium;Cedar;Jasmine,Amber;Musk;Praline,Floral Musk,4.0,
Guerlain,Oud Trail 0087,UNISEX,1984,Pear;Aldehydes;Fig Leaf,Geranium;Rose;Ylang Ylang,Amber;Vetiver;Oud,Green Aromatic,4.3,
Maison Francis Kurkdjian,Zenith Legend 0088,WOMEN,1984,Cardamom;Mandarin;Aldehydes,Cedar;Cinnamon;Tuberose,Leather;Oakmoss;Vetiver,Floral Musk,4.6,
Diptyque,Eclat Legend 0089,UNISEX,1986,Juniper Berries;Pink Pepper;Lemon,Tuberose;Geranium;Lavender,Tonka Bean;Cedarwood;Incense,Amber Gourmand,3.7,
Byredo,Zenith Parfum 0090,UNISEX,2019,Grapefruit;Ginger;Saffron,Nutmeg;Lavender;Iris,Oud;Labdanum;Cedarwood,Woody Amber,3.7,https://images.odora.it/perfumes/byredo-0090.jpg
Yves Saint Laurent,Zenith Signature 0091,MEN,2000,Aldehydes;Fig Leaf;Cardamom,Iris;Cedar;Patchouli,Vetiver;Praline;Tonka Bean,Green Aromatic,4.8,
Acqua di Parma,Opaline Legend 0092,UNISEX,1997,Lavender;Pear;Ginger,Cinnamon;Iris;Coffee,Tonka Bean;Musk;Incense,Green Aromatic,4.7,
Parfums de Marly,Velvet Whisper 0093,MEN,1993,Fig Leaf;Mint;Ginger,Coffee;Nutmeg;Tuberose,Vanilla;Myrrh;Musk,Floral Woody Musk,3.6,
Initio,Amber Trail 0094,MEN,1988,Saffron;Cardamom;Pear,Ylang Ylang;Cedar;Jasmine,Benzoin;Cedarwood;Amber,Amber Gourmand,4.8,
Mancera,Silk Whisper 0095,UNISEX,2014,Apple;Aldehydes;Lavender,Cinnamon;Cedar;Violet,Oud;Leather;Tonka Bean,Fresh Citrus,4.3,https://images.odora.it/perfumes/mancera-0095.jpg
Montale,Solar Eau de Parfum 0096,UNISEX,1984,Apple;Pink Pepper;Pear,Nutmeg;Ylang Ylang;Lavender,Incense;Oakmoss;Leather,Citrus Aromatic,3.5,
Nishane,Opaline Pulse 0097,MEN,1985,Fig Leaf;Neroli;Lemon,Rose;Iris;Nutmeg,Benzoin;Sandalwood;Labdanum,Woody Spicy,4.5,
Memo Paris,Zenith Parfum 0098,WOMEN,1982,Aldehydes;Juniper Berries;Fig Leaf,Cinnamon;Tuberose;Orange Blossom,Myrrh;Vetiver;Vanilla,Aromatic Fougere,4.5,
Frederic Malle,Eclat Legend 0099,WOMEN,1997,Saffron;Apple;Lavender,Lavender;Tuberose;Jasmine,Benzoin;Incense;Vanilla,Fresh Citrus,4.4,
Le Labo,Noble Trail 0100,UNISEX,2004,Lemon;Mandarin;Cardamom,Violet;Jasmine;Iris,Myrrh;Praline;Leather,Woody Amber,3.7,https://images.odora.it/perfumes/le-labo-0100.jpg
Dior,Eclat Spirit 0101,WOMEN,2024,Juniper Berries;Mint;Grapefruit,Violet;Iris;Ylang Ylang,Sandalwood;Oakmoss;Tonka Bean,Floral Musk,4.8,
Chanel,Saffron Veil 0102,WOMEN,1981,Neroli;Saffron;Lemon,Orange Blossom;Fig;Nutmeg,Amber;Vetiver;Praline,Amber Gourmand,3.7,
Xerjoff,Mystic Whisper 0103,MEN,1999,Mint;Bergamot;Saffron,Fig;Patchouli;Geranium,Vetiver;Cashmeran;Labdanum,Citrus Aromatic,4.6,
Lattafa,Royal Pulse 0104,UNISEX,2000,Pear;Juniper Berries;Grapefruit,Coffee;Cedar;Dates,Tonka Bean;Sandalwood;Praline,Amber Gourmand,4.1,
Amouage,Intense Veil 0105,UNISEX,2011,Fig Leaf;Pink Pepper;Apple,Jasmine;Coffee;Cinnamon,Oud;Labdanum;Cedarwood,Aromatic Fougere,3.9,https://images.odora.it/perfumes/amouage-0105.jpg
Tom Ford,Amber Elixir 0106,WOMEN,2015,Apple;Mint;Neroli,Fig;Lavender;Geranium,Benzoin;Cashmeran;Leather,Floral Woody Musk,3.9,
Guerlain,Absolu Pulse 0107,MEN,2023,Ginger;Grapefruit;Pear,Fig;Cedar;Geranium,Benzoin;Oakmoss;Incense,Green Aromatic,4.2,
Maison Francis Kurkdjian,Opaline Reserve 0108,MEN,2010,Pear;Ginger;Bergamot,Nutmeg;Cinnamon;Patchouli,Cedarwood;Incense;Leather,Woody Spicy,4.5,
Diptyque,Noble Spirit 0109,MEN,1995,Bergamot;Lemon;Apple,Cedar;Coffee;Nutmeg,Tonka Bean;Oakmoss;Cashmeran,Woody Amber,4.9,
Byredo,Velvet Edition 0110,WOMEN,1988,Grapefruit;Mint;Saffron,Coffee;Geranium;Orange Blossom,Vanilla;Cedarwood;Musk,Fresh Citrus,4.1,https://images.odora.it/perfumes/byredo-0110.jpg
Yves Saint Laurent,Solar Code 0111,MEN,1983,Aldehydes;Juniper Berries;Grapefruit,Cinnamon;Orange Blossom;Cedar,Oud;Incense;Cedarwood,Green Aromatic,4.2,
Acqua di Parma,Royal Pulse 0112,UNISEX,1989,Mint;Lemon;Bergamot,Ylang Ylang;Cedar;Cinnamon,Oud;Oakmoss;Amber,Woody Amber,4.3,
Parfums de Marly,Intense Edition 0113,MEN,2014,Mint;Pink Pepper;Bergamot,Jasmine;Cinnamon;Lavender,Amber;Labdanum;Leather,Oriental Vanilla,4.2,
Initio,Midnight Trail 0114,WOMEN,1980,Ginger;Juniper Berries;Aldehydes,Cedar;Geranium;Dates,Oakmoss;Labdanum;Vetiver,Oriental Vanilla,3.6,
Mancera,Amber Essence 0115,MEN,1996,Saffron;Ginger;Juniper Berries,Lavender;Cinnamon;Tuberose,Myrrh;Tonka Bean;Praline,Floral Musk,3.6,https://images.odora.it/perfumes/mancera-0115.jpg
Montale,Saffron Reserve 0116,WOMEN,2013,Pear;Grapefruit;Ginger,Violet;Dates;Geranium,Myrrh;Labdanum;Incense,Oriental Vanilla,3.8,
Nishane,Eclat Sillage 0117,UNISEX,2017,Lavender;Bergamot;Ginger,Rose;Lavender;Cinnamon,Vanilla;Oakmoss;Oud,Floral Woody Musk,4.4,
Memo Paris,Eclat Parfum 0118,MEN,1991,Cardamom;Pear;Saffron,Cinnamon;Orange Blossom;Rose,Sandalwood;Amber;Vetiver,Citrus Aromatic,4.2,
Frederic Malle,Noir Nectar 0119,WOMEN,2009,Juniper Berries;Cardamom;Aldehydes,Rose;Orange Blossom;Dates,Benzoin;Cedarwood;Amber,Citrus Aromatic,3.6,
Le Labo,Noble Pulse 0120,MEN,2009,Bergamot;Neroli;Mint,Lavender;Cinnamon;Orange Blossom,Amber;Vetiver;Tonka Bean,Aromatic Fougere,3.7,https://images.odora.it/perfumes/le-labo-0120.jpg
Dior,Royal Essence 0121,UNISEX,2020,Saffron;Cardamom;Ginger,Cinnamon;Rose;Jasmine,Vanilla;Oud;Vetiver,Woody Amber,4.5,
Chanel,Zenith Fusion 0122,UNISEX,1992,Grapefruit;Mint;Aldehydes,Orange Blossom;Iris;Fig,Oud;Myrrh;Leather,Fresh Citrus,4.4,
Xerjoff,Noir Fusion 0123,UNISEX,2015,Pear;Fig Leaf;Saffron,Orange Blossom;Fig;Cedar,Musk;Incense;Vanilla,Oriental Vanilla,3.7,
Lattafa,Royal Sillage 0124,MEN,1989,Grapefruit;Ginger;Mandarin,Tuberose;Lavender;Rose,Sandalwood;Cashmeran;Oakmoss,Amber Gourmand,4.2,
Amouage,Noir Spirit 0125,MEN,2018,Ginger;Apple;Juniper Berries,Ylang Ylang;Cinnamon;Fig,Benzoin;Oud;Cashmeran,Fresh Citrus,3.7,https://images.odora.it/perfumes/amouage-0125.jpg
Tom Ford,Intense Elixir 0126,WOMEN,1995,Cardamom;Bergamot;Lemon,Nutmeg;Tuberose;Cedar,Myrrh;Tonka Bean;Incense,Green Aromatic,4.9,
Guerlain,Oud Trail 0127,WOMEN,2020,Saffron;Apple;Pear,Patchouli;Ylang Ylang;Fig,Oakmoss;Cedarwood;Leather,Fresh Citrus,3.9,
Maison Francis Kurkdjian,Mystic Trail 0128,UNISEX,1988,Aldehydes;Apple;Fig Leaf,Patchouli;Tuberose;Coffee,Musk;Cedarwood;Tonka Bean,Oriental Vanilla,4.1,
Diptyque,Oud Trail 0129,MEN,2023,Mandarin;Apple;Juniper Berries,Tuberose;Lavender;Dates,Cashmeran;Amber;Myrrh,Fresh Citrus,4.5,
Byredo,Noble Legend 0130,UNISEX,2006,Apple;Grapefruit;Lemon,Dates;Jasmine;Rose,Leather;Oud;Musk,Citrus Aromatic,4.3,https://images.odora.it/perfumes/byredo-0130.jpg
Yves Saint Laurent,Royal Elixir 0131,WOMEN,2002,Cardamom;Lavender;Lemon,Cinnamon;Cedar;Tuberose,Sandalwood;Tonka Bean;Oud,Woody Amber,3.7,
Acqua di Parma,Opaline Spirit 0132,WOMEN,1993,Neroli;Fig Leaf;Grapefruit,Violet;Fig;Geranium,Oud;Cashmeran;Labdanum,Oriental Vanilla,3.7,
Parfums de Marly,Midnight Legend 0133,MEN,1989,Aldehydes;Saffron;Fig Leaf,Iris;Orange Blossom;Lavender,Myrrh;Amber;Benzoin,Aromatic Fougere,3.8,
Initio,Saffron Whisper 0134,UNISEX,2017,Lemon;Saffron;Aldehydes,Rose;Tuberose;Patchouli,Cedarwood;Benzoin;Tonka Bean,Oriental Vanilla,4.1,
Mancera,Noir Code 0135,WOMEN,1983,Pear;Fig Leaf;Grapefruit,Lavender;Rose;Patchouli,Amber;Musk;Leather,Floral Musk,4.1,https://images.odora.it/perfumes/mancera-0135.jpg
Montale,Silk Essence 0136,MEN,1985,Saffron;Aldehydes;Mandarin,Fig;Rose;Lavender,Incense;Cedarwood;Leather,Amber Gourmand,4.0,
Nishane,Noble Bloom 0137,MEN,2017,Pink Pepper;Aldehydes;Lemon,Jasmine;Ylang Ylang;Cedar,Amber;Musk;Praline,Floral Musk,4.9,
Memo Paris,Saffron Parfum 0138,UNISEX,2003,Lavender;Juniper Berries;Cardamom,Rose;Fig;Dates,Myrrh;Praline;Cedarwood,Fresh Citrus,4.8,
Frederic Malle,Eclat Bloom 0139,UNISEX,2001,Grapefruit;Neroli;Lavender,Patchouli;Ylang Ylang;Coffee,Oud;Benzoin;Sandalwood,Amber Gourmand,4.0,
Le Labo,Oud Nectar 0140,MEN,2008,Mandarin;Saffron;Pink Pepper,Nutmeg;Dates;Violet,Vetiver;Cedarwood;Tonka Bean,Fresh Citrus,3.9,https://images.odora.it/perfumes/le-labo-0140.jpg
Dior,Noble Bloom 0141,UNISEX,2000,Pear;Ginger;Grapefruit,Ylang Ylang;Dates;Jasmine,Vanilla;Labdanum;Myrrh,Woody Amber,4.2,
Chanel,Royal Eau de Parfum 0142,UNISEX,1991,Pink Pepper;Lavender;Juniper Berries,Rose;Tuberose;Ylang Ylang,Oakmoss;Tonka Bean;Vanilla,Woody Spicy,4.7,
Xerjoff,Absolu Pulse 0143,MEN,2022,Neroli;Mint;Saffron,Geranium;Tuberose;Ylang Ylang,Praline;Vanilla;Oud,Woody Amber,4.3,
Lattafa,Absolu Essence 0144,MEN,1985,Lavender;Apple;Mint,Coffee;Violet;Tuberose,Tonka Bean;Oud;Sandalwood,Floral Musk,4.6,
Amouage,Noir Edition 0145,UNISEX,2019,Aldehydes;Bergamot;Juniper Berries,Patchouli;Tuberose;Ylang Ylang,Cashmeran;Musk;Benzoin,Fresh Citrus,4.5,https://images.odora.it/perfumes/amouage-0145.jpg
